X,Y,Z
0.1393915,1.340028,0.5189014
0.1378051,1.347782,0.5192648
0.1357681,1.355131,0.5194672
0.1331746,1.362676,0.5198547
0.1296328,1.369457,0.5192076
0.1261457,1.376745,0.518702
0.1225574,1.383482,0.5179517
0.118747,1.389586,0.5168994
0.1153854,1.395879,0.5162371
0.1119971,1.401241,0.5151665
0.1084973,1.407139,0.5142978
0.1047615,1.412206,0.5130116
0.1001207,1.416947,0.5111982
0.09559364,1.421568,0.5096255
0.0900631,1.425231,0.5071998
0.0844162,1.428666,0.5048048
0.07911672,1.431315,0.5025281
0.07395695,1.434308,0.5005303
0.06881978,1.43555,0.4982304
0.0637463,1.437605,0.4960776
0.05841275,1.438266,0.4937445
0.05299082,1.439176,0.4912027
0.04710739,1.438557,0.4882378
0.0414237,1.437476,0.4856923
0.03620476,1.435868,0.4831448
0.03091407,1.434175,0.4804043
0.02561058,1.432402,0.4777973
0.02030353,1.43048,0.4751536
0.01516403,1.427625,0.4726533
0.009755693,1.424292,0.4699232
0.004274622,1.421261,0.4674868
-0.000156701,1.417136,0.4658716
-0.004612431,1.413825,0.4638902
-0.008651987,1.409707,0.4621985
-0.01322579,1.404682,0.4599177
-0.0176225,1.399748,0.4575638
-0.02145402,1.39344,0.4553642
-0.02554858,1.388111,0.4534756
-0.02870674,1.382501,0.4519568
-0.03208753,1.377098,0.4503145
-0.03422323,1.371376,0.4490431
-0.03422323,1.371376,0.4490431
-0.03952673,1.359647,0.4463783
-0.0419367,1.35347,0.4449544
-0.04405437,1.347299,0.4438289
-0.04549746,1.340748,0.4425589
-0.04699273,1.334641,0.4416904
-0.04790114,1.328727,0.4408395
-0.04937477,1.323056,0.4401414
-0.04996984,1.316737,0.4393968
-0.05047682,1.310283,0.4388741
-0.05047682,1.310283,0.4388741
-0.05028714,1.297223,0.4381255
-0.04989283,1.291276,0.438254
-0.04951172,1.285447,0.4381862
-0.04834177,1.279962,0.4380888
-0.047345,1.274235,0.4378641
-0.04546317,1.268503,0.4375746
-0.04381214,1.262437,0.4373363
-0.04381214,1.262437,0.4373363
-0.04024999,1.250777,0.437236
-0.03773162,1.245486,0.4374607
-0.0380895,1.239252,0.4363398
-0.03521541,1.23399,0.436361
-0.03258038,1.22867,0.436285
-0.02988054,1.224063,0.4363817
-0.02698173,1.219768,0.4362882
-0.02698173,1.219768,0.4362882
-0.02057396,1.211488,0.4364271
-0.01701602,1.207113,0.4365207
-0.01366118,1.202457,0.43642
-0.009730875,1.198056,0.4364963
-0.005651191,1.194048,0.4366283
-0.001286879,1.190543,0.4367965
0.003136948,1.187647,0.4371236
0.003136948,1.187647,0.4371236
0.01193739,1.182136,0.4372391
0.01654556,1.179544,0.4368996
0.02138528,1.177058,0.4366958
0.02615635,1.174296,0.4367324
0.03147909,1.172111,0.4368582
0.03647041,1.169974,0.4369564
0.03647041,1.169974,0.4369564
0.0421045,1.168447,0.4370723
0.05359204,1.166677,0.4375729
0.05914031,1.166173,0.4374779
0.06465852,1.165671,0.4370071
0.07031506,1.165216,0.4369104
0.07616764,1.165382,0.4367033
0.082305,1.165557,0.4366091
0.08883585,1.165864,0.4364469
0.09521598,1.166243,0.4363573
0.09521598,1.166243,0.4363573
0.1076791,1.169138,0.4364592
0.1136096,1.171268,0.4364415
0.1197505,1.173093,0.4364874
0.1258803,1.175918,0.4367234
0.1322241,1.179049,0.4368381
0.1384961,1.182541,0.4369287
0.1446177,1.186033,0.436666
0.1505454,1.190147,0.4366055
0.1567149,1.19418,0.4365092
0.1567149,1.19418,0.4365092
0.1697728,1.204069,0.4358695
0.1764311,1.209203,0.4353045
0.182926,1.214921,0.4347478
0.182926,1.214921,0.4347478
0.1953944,1.226709,0.4337378
0.2019393,1.233216,0.4329007
0.2082215,1.239446,0.4321908
0.2082215,1.239446,0.4321908
0.2214108,1.253162,0.4299884
0.2281559,1.260117,0.4286239
0.2348374,1.267287,0.4271454
0.2413774,1.274333,0.4257994
0.2479164,1.281807,0.4240279
0.2544664,1.289247,0.4219752
0.2544664,1.289247,0.4219752
0.2670976,1.304559,0.4173066
0.2733969,1.312045,0.4149802
0.2792691,1.319915,0.4122647
0.2854538,1.327671,0.4096156
0.2912353,1.335513,0.406124
0.2972878,1.343185,0.4029452
0.2972878,1.343185,0.4029452
0.3082522,1.358975,0.3955078
0.3135952,1.367111,0.3917865
0.3185709,1.375332,0.3876413
0.3233595,1.383095,0.3835492
0.3285017,1.390926,0.3792444
0.3335806,1.398551,0.3745913
0.3335806,1.398551,0.3745913
0.3431131,1.413547,0.3648415
0.3479256,1.421072,0.360073
0.3526676,1.428309,0.3548794
0.3570814,1.435558,0.3494855
0.3613014,1.442553,0.3438322
0.365506,1.449495,0.3386351
0.3692588,1.456241,0.3327861
0.3692588,1.456241,0.3327861
0.3762473,1.468502,0.3211995
0.3798892,1.474713,0.3153056
0.3836446,1.480414,0.3093988
0.3875463,1.485835,0.3033376
0.3912297,1.491233,0.2970105
0.3944541,1.496128,0.2906836
0.397491,1.500559,0.2846389
0.4005387,1.504975,0.2785775
0.4031624,1.508894,0.2718995
0.4059245,1.512553,0.2658676
0.4059245,1.512553,0.2658676
0.4117034,1.518264,0.253605
0.4149081,1.520628,0.2473261
0.4180962,1.522399,0.2412008
0.4210302,1.523579,0.2350511
0.4236434,1.524012,0.2293695
0.4263412,1.524928,0.2234533
0.4288933,1.5251,0.2182316
0.4318334,1.525733,0.2123403
0.4349043,1.52529,0.2070982
0.4379675,1.524257,0.2016242
0.4408658,1.522672,0.1962026
0.4434707,1.520705,0.1912695
0.4460797,1.518593,0.1860524
0.4486326,1.51659,0.1812565
0.451476,1.513947,0.1762858
0.4542337,1.510802,0.1716887
0.4570012,1.507499,0.1669848
0.4592288,1.502475,0.1636168
0.4613986,1.498446,0.1599439
0.4637813,1.494529,0.1567022
0.4668611,1.490805,0.1538204
0.4693291,1.486661,0.1506502
0.4716297,1.482113,0.1477663
0.473459,1.476632,0.1455216
0.4753449,1.471188,0.143533
0.477023,1.464963,0.1422562
0.4789069,1.458949,0.1411341
0.4789069,1.458949,0.1411341
0.4835002,1.447749,0.1382137
0.4850287,1.441348,0.1372595
0.4862129,1.434854,0.136345
0.4874835,1.428389,0.1356036
0.4883776,1.421251,0.1354187
0.4895908,1.414357,0.1352836
0.4916096,1.406933,0.1352685
0.4928941,1.399565,0.1355148
0.4944596,1.39254,0.1353667
0.4954973,1.38518,0.1354533
0.4961183,1.377571,0.1360557
0.4966194,1.369874,0.1371051
0.4966194,1.369874,0.1371051
0.4976264,1.353428,0.1399231
0.4982549,1.345187,0.1413238
0.4990017,1.336983,0.1426771
0.4997693,1.328555,0.1438394
0.499824,1.320424,0.14547
0.5004864,1.312133,0.1467519
0.5000601,1.303319,0.1490915
0.4997772,1.294341,0.1517962
0.49938,1.285342,0.1546871
0.49938,1.285342,0.1546871
0.4985436,1.266418,0.1609326
0.4976889,1.257585,0.1636157
0.4971971,1.249024,0.1659895
0.4957102,1.24042,0.1691267
0.4946593,1.231646,0.1721626
0.4927497,1.222595,0.1759914
0.4927497,1.222595,0.1759914
0.4887324,1.20406,0.1841401
0.4863375,1.195134,0.1884564
0.4837559,1.186463,0.1925682
0.4811052,1.17791,0.1966313
0.4788121,1.16973,0.2005548
0.4761691,1.161143,0.2048418
0.4761691,1.161143,0.2048418
0.4690747,1.144293,0.2148114
0.4645842,1.136974,0.2201492
0.4600178,1.129807,0.2255664
0.4553935,1.123015,0.2310188
0.4512832,1.116031,0.2362085
0.4512832,1.116031,0.2362085
0.4429771,1.101203,0.2464953
0.4382145,1.09321,0.2517987
0.4331165,1.08614,0.2572081
0.4271069,1.08023,0.2630994
0.4215841,1.074739,0.2689133
0.4154994,1.06966,0.2748498
0.4154994,1.06966,0.2748498
0.4041649,1.058949,0.2861254
0.3981935,1.05331,0.2918209
0.3922353,1.048055,0.297195
0.3854896,1.043874,0.3028684
0.3792284,1.040648,0.3085909
0.3724961,1.037118,0.3142449
0.3659682,1.033964,0.3199773
0.3659682,1.033964,0.3199773
0.3524101,1.027151,0.3309701
0.3455031,1.024173,0.3363147
0.3389588,1.022414,0.3414689
0.3322062,1.021339,0.3468181
0.3249991,1.020645,0.3523871
0.3178493,1.019818,0.3581442
0.3106118,1.01891,0.364045
0.3035364,1.016949,0.3692699
0.2962423,1.015115,0.3743904
0.2962423,1.015115,0.3743904
0.2828515,1.015342,0.384447
0.2761312,1.016403,0.3895985
0.2694427,1.01724,0.3950551
0.2627258,1.017776,0.400104
0.2559477,1.018358,0.4051022
0.2490288,1.019471,0.4099474
0.2428582,1.020968,0.4147143
0.2363733,1.023112,0.4194998
0.2302085,1.026022,0.424488
0.2237237,1.028297,0.4296209
0.2177149,1.030973,0.4344931
0.2177149,1.030973,0.4344931
0.2063485,1.03817,0.4441913
0.2012752,1.042728,0.4490208
0.1957886,1.048067,0.4542894
0.1911488,1.052881,0.4592936
0.18612,1.05858,0.4645339
0.1814636,1.063635,0.4694996
0.1767322,1.069944,0.4749621
0.1767322,1.069944,0.4749621
0.1684293,1.083432,0.485247
0.1650778,1.092719,0.490458
0.1858465,1.088608,0.4892666
0.182392,1.09667,0.4942574
0.1801049,1.104891,0.4992502
0.1801049,1.104891,0.4992502
0.177887,1.113927,0.504235
0.1742417,1.133556,0.5140429
0.1724446,1.144396,0.5186015
0.1705171,1.154627,0.5232759
0.1705171,1.154627,0.5232759
0.167717,1.176002,0.5322092
0.1662614,1.187539,0.5364653
0.1655777,1.199983,0.5402524
0.1645915,1.211979,0.544122
0.1646954,1.224869,0.5474396
0.164404,1.237903,0.5504275
0.1637411,1.25102,0.5534171
0.1637411,1.25102,0.5534171
0.1620309,1.277935,0.5587684
0.161547,1.291164,0.5612531
0.1612946,1.304633,0.5631154
0.1612946,1.304633,0.5631154
0.1603373,1.331133,0.5658135
0.1593946,1.345052,0.5662886
0.1585163,1.358859,0.5669142
0.1580453,1.372414,0.5664087
0.1581007,1.38503,0.5665532
0.1576247,1.398059,0.5670145
0.1578194,1.411189,0.5663909
0.1586442,1.424132,0.5651683
0.1588908,1.43709,0.5641062
0.1582998,1.448169,0.5630828
0.1582998,1.448169,0.5630828
0.1545539,1.468484,0.5621588
0.1526095,1.478359,0.561535
0.1519053,1.488018,0.5603968
0.1521129,1.497187,0.5583429
0.1530389,1.506909,0.5553811
0.1534494,1.516149,0.5528811
0.1528758,1.525391,0.5506492
0.1528758,1.525391,0.5506492
0.1488181,1.538412,0.5479865
0.1469176,1.543694,0.5468361
0.1456465,1.548906,0.5456263
0.1453258,1.553819,0.5437785
0.1453258,1.553819,0.5437785
0.1437805,1.564938,0.5390794
0.1419137,1.570267,0.536488
0.1399682,1.574808,0.5341278
0.1371983,1.578042,0.5330302
0.1344293,1.580012,0.5324723
0.1344293,1.580012,0.5324723
0.1307396,1.585384,0.5303755
0.1283262,1.58719,0.5292071
0.1259615,1.588048,0.528611
0.1234783,1.589388,0.527808
0.1209465,1.590806,0.5270237
0.1185597,1.592377,0.5260815
0.1166888,1.594149,0.5253561
0.1151237,1.595574,0.5245016
0.1151237,1.595574,0.5245016
0.1116886,1.599047,0.5226538
0.1089215,1.600587,0.5214789
0.1050932,1.60184,0.5201737
0.1013552,1.602822,0.5190083
0.09737857,1.603719,0.5178494
0.09376229,1.604334,0.5171407
0.09083661,1.605439,0.5164013
0.08816779,1.606312,0.5161622
0.08476385,1.606995,0.5156789
0.08049182,1.607014,0.5150089
0.07541476,1.606907,0.513824
0.06949819,1.606223,0.5119736
0.06949819,1.606223,0.5119736
0.0583195,1.606532,0.5102383
0.05354053,1.606526,0.5096588
0.04963048,1.606703,0.508998
0.04517637,1.606188,0.508317
0.04000899,1.605124,0.5074125
0.03469147,1.603677,0.5063387
0.02912673,1.601991,0.5053775
0.02425133,1.600117,0.5047333
0.01924402,1.598833,0.5041375
0.01508918,1.597527,0.5033607
0.01036154,1.59616,0.5024146
0.005756304,1.594015,0.5013275
0.001048461,1.591936,0.5004706
-0.00341098,1.589419,0.4996976
-0.007378742,1.586925,0.498994
-0.01128002,1.584623,0.4981092
-0.01128002,1.584623,0.4981092
-0.01882224,1.58058,0.4957398
-0.02235921,1.577984,0.4940683
-0.02708465,1.574677,0.4911845
-0.03006889,1.571012,0.4897266
-0.03238288,1.567147,0.4884801
-0.03433356,1.563077,0.4876045
-0.03819981,1.560455,0.4875776
-0.0400624,1.557294,0.486378
-0.04122283,1.553233,0.4843268
-0.04337722,1.549211,0.4825778
-0.04408076,1.544643,0.4809293
-0.04408076,1.544643,0.4809293
-0.0452047,1.535793,0.4786755
-0.04505938,1.531623,0.4782043
-0.04386206,1.527528,0.4777828
-0.04317962,1.523741,0.477795
